iter	Passed	Remaining
819	12174	62060
820	12187	62034
821	12200	62009
822	12212	61983
823	12225	61959
824	12239	61940
825	12252	61916
826	12266	61895
827	12279	61869
828	12291	61841
829	12303	61816
830	12316	61790
831	12333	61788
832	12351	61785
833	12366	61774
834	12379	61750
835	12392	61724
836	12405	61699
837	12418	61676
838	12430	61649
839	12443	61623
840	12456	61602
841	12469	61577
842	12482	61554
843	12495	61529
844	12507	61502
845	12520	61477
846	12532	61451
847	12546	61429
848	12560	61413
849	12576	61403
850	12589	61380
851	12602	61355
852	12615	61331
853	12628	61306
854	12640	61281
855	12653	61258
856	12667	61238
857	12680	61213
858	12693	61189
859	12705	61165
860	12718	61140
861	12731	61115
862	12745	61096
863	12757	61072
864	12770	61047
865	12783	61024
866	12796	61000
867	12813	60995
868	12825	60970
869	12838	60946
870	12852	60925
871	12864	60901
872	12877	60878
873	12890	60852
874	12902	60828
875	12915	60803
876	12928	60779
877	12941	60758
878	12955	60736
879	12967	60713
880	12982	60699
881	12995	60675
882	13008	60650
883	13021	60628
884	13034	60606
885	13051	60601
886	13064	60578
887	13078	60560
888	13090	60536
889	13104	60514
890	13116	60490
891	13129	60467
892	13142	60443
893	13155	60421
894	13168	60397
895	13180	60371
896	13193	60347
897	13205	60323
898	13218	60299
899	13232	60280
900	13245	60257
901	13258	60235
902	13270	60211
903	13283	60186
904	13296	60165
905	13309	60142
906	13323	60126
907	13340	60120
908	13353	60098
909	13366	60077
910	13379	60053
911	13392	60030
912	13405	60008
913	13417	59984
914	13431	59962
915	13444	59942
916	13457	59918
917	13470	59898
918	13483	59874
919	13495	59851
920	13508	59828
921	13520	59803
922	13533	59780
923	13547	59761
924	13560	59738
925	13573	59716
926	13585	59691
927	13598	59669
928	13611	59645
929	13625	59630
930	13646	59643
931	13661	59629
932	13674	59607
933	13687	59587
934	13700	59563
935	13713	59540
936	13726	59522
937	13740	59501
938	13753	59479
939	13766	59457
940	13778	59433
941	13791	59412
942	13811	59421
943	13824	59397
944	13837	59376
945	13850	59355
946	13863	59334
947	13876	59310
948	13889	59289
949	13902	59268
950	13915	59245
951	13928	59224
952	13942	59208
953	13955	59187
954	13969	59170
955	13982	59148
956	13995	59125
957	14008	59103
958	14020	59079
959	14038	59079
960	14051	59057
961	14065	59039
962	14077	59016
963	14090	58994
964	14104	58974
965	14116	58950
966	14129	58930
967	14142	58909
968	14155	58884
969	14167	58862
970	14180	58839
971	14193	58816
972	14205	58793
973	14219	58775
974	14231	58752
975	14245	58732
976	14258	58713
977	14270	58688
978	14283	58664
979	14296	58643
980	14308	58620
981	14321	58598
982	14334	58578
983	14347	58557
984	14360	58536
985	14373	58513
986	14386	58492
987	14399	58471
988	14411	58446
989	14423	58423
990	14437	58405
991	14449	58382
992	14464	58365
993	14476	58342
994	14488	58319
995	14501	58298
996	14514	58274
997	14526	58251
998	14539	58230
999	14551	58207
1000	14565	58188
1001	14577	58165
1002	14593	58157
1003	14610	58152
1004	14625	58140
1005	14638	58119
1006	14651	58097
1007	14664	58075
1008	14676	58053
1009	14689	58031
1010	14702	58008
1011	14715	57989
1012	14728	57968
1013	14741	57949
1014	14754	57927
1015	14767	57905
1016	14779	57883
1017	14795	57872
1018	14811	57866
1019	14832	57875
1020	14848	57868
1021	14865	57862
1022	14882	57855
1023	14895	57835
1024	14908	57814
1025	14922	57797
1026	14935	57777
1027	14948	57756
1028	14962	57740
1029	14974	57716
1030	14986	57694
1031	14999	57672
1032	15012	57650
1033	15029	57646
1034	15041	57623
1035	15055	57605
1036	15068	57585
1037	15081	57565
1038	15094	57544
1039	15106	57522
1040	15119	57501
1041	15133	57482
1042	15145	57459
1043	15157	57437
1044	15171	57417
1045	15183	57396
1046	15196	57376
1047	15210	57359
1048	15223	57338
1049	15236	57319
1050	15249	57296
1051	15261	57275
1052	15274	57254
1053	15287	57234
1054	15300	57213
1055	15313	57194
1056	15326	57173
1057	15339	57153
1058	15352	57132
1059	15365	57112
1060	15377	57091
1061	15391	57071
1062	15403	57050
1063	15416	57031
1064	15429	57010
1065	15442	56989
1066	15456	56971
1067	15468	56950
1068	15481	56929
1069	15494	56909
1070	15506	56886
1071	15518	56864
1072	15532	56844
1073	15544	56824
1074	15557	56802
1075	15570	56784
1076	15583	56765
1077	15596	56744
1078	15609	56724
1079	15622	56703
1080	15635	56682
1081	15647	56661
1082	15660	56642
1083	15674	56623
1084	15686	56602
1085	15699	56581
1086	15714	56569
1087	15727	56548
1088	15739	56527
1089	15752	56508
1090	15765	56488
1091	15778	56467
1092	15795	56462
1093	15808	56442
1094	15821	56421
1095	15833	56401
1096	15847	56382
1097	15860	56362
1098	15873	56343
1099	15886	56324
1100	15899	56303
1101	15913	56288
1102	15926	56268
1103	15939	56250
1104	15953	56234
1105	15966	56213
1106	15978	56192
1107	15991	56172
1108	16004	56152
1109	16020	56142
1110	16032	56121
1111	16045	56101
1112	16058	56081
